PredictedProbability|PredictedLabel
0|0
0|0
0|0
0|0
0|0
0|0
0|0
0|0
0|0
0|0
0.106766|0
0.174684|0
0.12597|0
0.0352718|0
0.0720731|0
0.12191|0
0.0923114|0
0.115038|0
0.127851|0
0.066248|0
0.0926125|0
0.0853065|0
0.0798066|0
0.0942445|0
0.0900936|0
0.0447681|0
0.114181|0
0.0695313|0
0.0713169|0
0.0592964|0
0.0989254|0
0.102267|0
0.0657203|0
0.0895036|0
0.0819928|0
0.0575126|0
0.0844886|0
0.091317|0
0.0930728|0
0|0
0.119139|0
0.0759436|0
0.111362|0
0.134261|0
0.103951|0
0.142259|0
0.12932|0
0.156308|0
0.161116|0
